seed,adapt_regime,probe_id,input_overlap,hidden_overlap,collapse_step,collapsed
5100,A1,2,0.3700900375843048,0.7814210653305054,5,1
5100,A1,3,-0.15630021691322327,0.6236653923988342,80,1
5100,A1,4,-0.621220588684082,0.43250101804733276,301,0
5100,A1,5,-0.5292389988899231,0.4066827595233917,301,0
5100,A1,6,-0.808937132358551,0.3154295086860657,301,0
5100,A1,10,-0.15630021691322327,0.6355320811271667,301,0
5100,A1,11,-0.6623969674110413,0.4120718240737915,301,0
5100,A1,12,-0.808937132358551,0.3355814516544342,301,0
5100,A1,13,-0.9882656335830688,0.30329009890556335,301,0
5100,A1,17,-0.15630021691322327,0.6386271119117737,301,0
5100,A1,18,-0.808937132358551,0.3525325357913971,301,0
5100,A1,19,-0.8814874291419983,0.3920699954032898,301,0
5100,A1,20,-0.9263410568237305,0.3833375573158264,301,0
5100,A1,25,-0.8140383362770081,0.41598331928253174,301,0
5100,A1,26,-0.814658522605896,0.3850187361240387,301,0
5100,A1,27,-0.7844865918159485,0.4031886160373688,301,0
5100,A1,28,0.9771325588226318,0.9915885925292969,5,1
5100,A1,29,0.9963493943214417,0.983370304107666,15,1
5100,A1,30,0.808937132358551,0.8589712977409363,40,1
5100,A1,31,0.3379858136177063,0.6944568753242493,60,1
5100,A1,32,-0.5878951549530029,0.46617645025253296,301,0
5100,A1,33,-0.8857782483100891,0.3862271308898926,301,0
5100,A1,34,-0.9389713406562805,0.3584460914134979,301,0
5100,A1,35,0.9882656335830688,0.969035804271698,25,1
5100,A1,36,0.808937132358551,0.8581710457801819,50,1
5100,A1,37,0.3888299763202667,0.7268379926681519,80,1
5100,A1,38,0.27207741141319275,0.666314959526062,100,1
5100,A1,39,0.06277453154325485,0.5973697900772095,301,0
5100,A1,40,-0.5878951549530029,0.456088125705719,301,0
5100,A1,41,-0.9470035433769226,0.36399805545806885,301,0
5100,A1,42,0.808937132358551,0.8546821475028992,50,1
5100,A1,43,0.45041725039482117,0.7514340877532959,100,1
5100,A1,44,0.0994558334350586,0.6566334366798401,301,0
5100,A1,45,0.3188530206680298,0.6659390926361084,301,0
5100,A1,46,0.2772175669670105,0.6264445185661316,301,0
5100,A1,47,-0.06365705281496048,0.552852988243103,301,0
5100,A1,48,-0.5878951549530029,0.44321492314338684,301,0
5100,A2,2,0.4445929527282715,0.7909662127494812,5,1
5100,A2,3,-0.07525862753391266,0.6317527294158936,150,1
5100,A2,4,-0.5552682876586914,0.43782639503479004,301,0
5100,A2,5,-0.45830708742141724,0.41169339418411255,301,0
5100,A2,6,-0.7583174109458923,0.3183663785457611,301,0
5100,A2,10,-0.07525862753391266,0.6436923742294312,301,0
5100,A2,11,-0.5991188287734985,0.4169106185436249,301,0
5100,A2,12,-0.7583174109458923,0.33872100710868835,301,0
5100,A2,13,-0.9725238680839539,0.30087417364120483,301,0
5100,A2,17,-0.07525862753391266,0.6467977166175842,301,0
5100,A2,18,-0.7583174109458923,0.3558585047721863,301,0
5100,A2,19,-0.91704922914505,0.38151678442955017,301,0
5100,A2,20,-0.9539663791656494,0.37403085827827454,301,0
5100,A2,25,-0.8586783409118652,0.4026981592178345,301,0
5100,A2,26,-0.8592255711555481,0.37226149439811707,301,0
5100,A2,27,-0.8324316740036011,0.39074772596359253,301,0
5100,A2,28,0.9912145137786865,0.9946078062057495,5,1
5100,A2,29,0.9860733151435852,0.9779951572418213,15,1
5100,A2,30,0.7583174109458923,0.8420085906982422,40,1
5100,A2,31,0.26013505458831787,0.6769106388092041,80,1
5100,A2,32,-0.6518855690956116,0.45099562406539917,301,0
5100,A2,33,-0.9206656217575073,0.3734319806098938,301,0
5100,A2,34,-0.9638895392417908,0.3471504747867584,301,0
5100,A2,35,0.9725238680839539,0.9626968502998352,25,1
5100,A2,36,0.7583174109458923,0.8418501019477844,50,1
5100,A2,37,0.3124275505542755,0.7099792957305908,100,1
5100,A2,38,0.19272395968437195,0.6495815515518188,301,0
5100,A2,39,-0.01879691891372204,0.5813936591148376,301,0
5100,A2,40,-0.6518855690956116,0.4408743977546692,301,0
5100,A2,41,-0.9700384736061096,0.3521016240119934,301,0
5100,A2,42,0.7583174109458923,0.8392269015312195,50,1
5100,A2,43,0.3761325478553772,0.7353798747062683,200,1
5100,A2,44,0.018005704507231712,0.6412217617034912,301,0
5100,A2,45,0.2405235916376114,0.6494402885437012,301,0
5100,A2,46,0.19796666502952576,0.6101725697517395,301,0
5100,A2,47,-0.14480312168598175,0.537266194820404,301,0
5100,A2,48,-0.6518855690956116,0.42798200249671936,301,0
5100,A3,2,0.4502986669540405,0.7900338172912598,5,1
5100,A3,3,-0.06889526546001434,0.6350348591804504,200,1
5100,A3,4,-0.5499509572982788,0.44535699486732483,301,0
5100,A3,5,-0.45262736082077026,0.4193333387374878,301,0
5100,A3,6,-0.7541429400444031,0.327269047498703,301,0
5100,A3,10,-0.06889526546001434,0.6478034257888794,301,0
5100,A3,11,-0.5939984917640686,0.42535558342933655,301,0
5100,A3,12,-0.7541429400444031,0.3479883670806885,301,0
5100,A3,13,-0.9710187911987305,0.3112567365169525,301,0
5100,A3,17,-0.06889526546001434,0.6512090563774109,301,0
5100,A3,18,-0.7541429400444031,0.36536556482315063,301,0
5100,A3,19,-0.9195747375488281,0.39295074343681335,301,0
5100,A3,20,-0.9558602571487427,0.3851602077484131,301,0
5100,A3,25,-0.8619307279586792,0.4156632125377655,301,0
5100,A3,26,-0.8624720573425293,0.38538122177124023,301,0
5100,A3,27,-0.8359501361846924,0.40249350666999817,301,0
5100,A3,28,0.9920381307601929,0.9930084347724915,5,1
5100,A3,29,0.9849921464920044,0.982319176197052,15,1
5100,A3,30,0.7541429400444031,0.85310298204422,50,1
5100,A3,31,0.2539694607257843,0.6889558434486389,100,1
5100,A3,32,-0.6567102670669556,0.4632055163383484,301,0
5100,A3,33,-0.9231373071670532,0.38743841648101807,301,0
5100,A3,34,-0.9655689001083374,0.36128708720207214,301,0
5100,A3,35,0.9710187911987305,0.9670435786247253,25,1
5100,A3,36,0.7541429400444031,0.852200984954834,50,1
5100,A3,37,0.3063606023788452,0.7204486131668091,150,1
5100,A3,38,0.1864597052335739,0.6611230969429016,301,0
5100,A3,39,-0.02517533488571644,0.5935552716255188,301,0
5100,A3,40,-0.6567102670669556,0.4535714387893677,301,0
5100,A3,41,-0.9715688228607178,0.3669419586658478,301,0
5100,A3,42,0.7541429400444031,0.84864342212677,50,1
5100,A3,43,0.37021344900131226,0.7445175051689148,301,0
5100,A3,44,0.011626442894339561,0.6503639221191406,301,0
5100,A3,45,0.2343260794878006,0.6610122919082642,301,0
5100,A3,46,0.1917089968919754,0.622683584690094,301,0
5100,A3,47,-0.1511128693819046,0.5500040650367737,301,0
5100,A3,48,-0.6567102670669556,0.4412536323070526,301,0
5100,A8,2,-0.8402596116065979,0.45103156566619873,5,1
5100,A8,3,-0.4454818069934845,0.5802554488182068,35,1
5100,A8,4,0.05162033438682556,0.6642867922782898,60,1
5100,A8,5,-0.06091495230793953,0.6786407828330994,80,1
5100,A8,6,0.3180631399154663,0.7011519074440002,100,1
5100,A8,10,-0.4454818069934845,0.5825465321540833,50,1
5100,A8,11,0.10516306757926941,0.674675464630127,80,1
5100,A8,12,0.3180631399154663,0.6983221173286438,100,1
5100,A8,13,0.7165160775184631,0.8591408729553223,80,1
5100,A8,17,-0.4454818069934845,0.5823058485984802,50,1
5100,A8,18,0.3180631399154663,0.6936981081962585,80,1
5100,A8,19,0.9919636845588684,0.9837242960929871,30,1
5100,A8,20,0.9731071591377258,0.9703600406646729,40,1
5100,A8,25,0.9999994039535522,0.9978434443473816,35,1
5100,A8,26,0.9999999403953552,1.0000001192092896,35,1
5100,A8,27,0.9987365007400513,0.9951056838035583,30,1
5100,A8,28,-0.9193428158760071,0.35319188237190247,5,1
5100,A8,29,-0.7621750831604004,0.42705199122428894,35,1
5100,A8,30,-0.3180631399154663,0.5822066068649292,301,0
5100,A8,31,0.27046898007392883,0.7894551157951355,35,1
5100,A8,32,0.9480695724487305,0.9500223398208618,40,1
5100,A8,33,0.99076247215271,0.9965205788612366,40,1
5100,A8,34,0.9644380807876587,0.9922454357147217,40,1
5100,A8,35,-0.7165160775184631,0.4293924868106842,60,1
5100,A8,36,-0.3180631399154663,0.5672323107719421,301,0
5100,A8,37,0.2175413817167282,0.7269160747528076,80,1
5100,A8,38,0.33641254901885986,0.7828755378723145,50,1
5100,A8,39,0.5276572704315186,0.8480934500694275,50,1
5100,A8,40,0.9480695724487305,0.9472700953483582,50,1
5100,A8,41,0.9577749371528625,0.9873854517936707,50,1
5100,A8,42,-0.3180631399154663,0.5551573634147644,301,0
5100,A8,43,0.15084543824195862,0.6693837642669678,100,1
5100,A8,44,0.496042937040329,0.7461323738098145,60,1
5100,A8,45,0.28991398215293884,0.7647867798805237,60,1
5100,A8,46,0.3313736617565155,0.8001559376716614,50,1
5100,A8,47,0.6306234002113342,0.8695735335350037,50,1
5100,A8,48,0.9480695724487305,0.9426432847976685,50,1
5100,A9,2,-0.8702335953712463,0.46080151200294495,5,1
5100,A9,3,-0.49655619263648987,0.5849289298057556,30,1
