seed,adapt_regime,adapt_x,adapt_y,adapt_allzero_rate,probe_id,probe_x,probe_y,input_overlap,hidden_overlap,init_success,routing_collapse_step,behavior_collapse_step,final_default_rate,final_p0,final_success
4100,T5,7.0,5.0,0.7142857142857143,0,2.0,2.0,-0.6567102670669556,0.3462621867656708,1.0,0,41,1.0,0.9999891519546509,1.0
4100,T5,7.0,5.0,0.7142857142857143,1,3.0,2.0,-0.2390030473470688,0.47210487723350525,1.0,0,30,1.0,0.9999917149543762,0.0
4100,T5,7.0,5.0,0.7142857142857143,2,5.0,2.0,0.025779739022254944,0.6366338133811951,1.0,10,10,1.0,0.9978052377700806,0.0
4100,T5,7.0,5.0,0.7142857142857143,3,7.0,2.0,0.2855629026889801,0.7362908720970154,1.0,40,41,1.0,0.8185709118843079,1.0
4100,T5,7.0,5.0,0.7142857142857143,4,8.0,2.0,0.7541429400444031,0.8718698024749756,1.0,41,41,0.0,0.03837793692946434,1.0
4100,T5,7.0,5.0,0.7142857142857143,5,2.0,3.5,-0.9003408551216125,0.2867125868797302,1.0,0,41,0.9166666666666666,0.9130448698997498,1.0
4100,T5,7.0,5.0,0.7142857142857143,6,4.0,3.5,-0.36845096945762634,0.45143067836761475,1.0,0,41,1.0,0.9999964833259583,1.0
4100,T5,7.0,5.0,0.7142857142857143,7,6.0,3.5,0.49274542927742004,0.7924416065216064,1.0,40,41,1.0,0.8530645966529846,1.0
4100,T5,7.0,5.0,0.7142857142857143,8,8.0,3.5,0.9997109770774841,0.9882459044456482,1.0,41,41,0.0,0.05339984968304634,1.0
4100,T5,7.0,5.0,0.7142857142857143,9,2.799999952316284,2.799999952316284,-0.6567103266716003,0.357291579246521,1.0,0,41,1.0,0.9999844431877136,1.0
4100,T5,7.0,5.0,0.7142857142857143,10,4.599999904632568,4.599999904632568,-0.6567102670669556,0.38504746556282043,1.0,0,41,1.0,0.9999566078186035,1.0
4100,T5,7.0,5.0,0.7142857142857143,11,2.0,5.0,-0.997623860836029,0.23205964267253876,0.0,41,41,0.0,0.019061829894781113,0.0
4100,T5,7.0,5.0,0.7142857142857143,12,4.0,5.0,-0.997623860836029,0.266490638256073,1.0,41,41,0.0,0.01699717715382576,1.0
4100,T5,7.0,5.0,0.7142857142857143,13,6.0,5.0,0.9929418563842773,0.995396077632904,1.0,41,20,0.0,0.30080336332321167,0.0
4100,T5,7.0,5.0,0.7142857142857143,14,8.0,5.0,0.9996275305747986,0.998779296875,1.0,41,20,0.0,0.11925124377012253,0.0
4100,T5,7.0,5.0,0.7142857142857143,15,2.0,6.5,-0.845882773399353,0.2142021656036377,1.0,41,41,0.0,0.000124710364616476,1.0
4100,T5,7.0,5.0,0.7142857142857143,16,4.0,6.5,-0.49274542927742004,0.3347320258617401,1.0,41,41,0.0,1.4625298661030683e-07,1.0
4100,T5,7.0,5.0,0.7142857142857143,17,6.0,6.5,0.36845096945762634,0.7996203303337097,1.0,41,41,0.0,7.513282980653457e-06,1.0
4100,T5,7.0,5.0,0.7142857142857143,18,8.0,6.5,0.9935252070426941,0.985724687576294,1.0,41,40,0.0,0.007968338206410408,0.0
4100,T5,7.0,5.0,0.7142857142857143,19,2.0,8.0,-0.7541429400444031,0.22501365840435028,1.0,41,41,0.0,2.8156412668067787e-07,1.0
4100,T5,7.0,5.0,0.7142857142857143,20,3.5,8.0,-0.11361176520586014,0.4765194356441498,1.0,41,20,0.0,1.035629907164548e-06,0.0
4100,T5,7.0,5.0,0.7142857142857143,21,5.0,8.0,0.20935355126857758,0.6695863604545593,1.0,41,10,0.0,2.724920022956212e-06,0.0
4100,T5,7.0,5.0,0.7142857142857143,22,6.5,8.0,-0.024039851501584053,0.6617238521575928,1.0,41,30,0.0,2.5766055955500633e-07,0.0
4100,T5,7.0,5.0,0.7142857142857143,23,8.0,8.0,0.6567102670669556,0.8925257325172424,1.0,41,41,0.0,4.29758001700975e-05,1.0
